task,threads,size,time,result
task1_minmax,1,1000,2.641700120875612e-05,-99.72646169796727
task1_minmax,1,1000000,0.0027734590003092308,-99.99991684293516
task1_minmax,1,100000000,0.2820350829970266,-99.99999975200777
task1_minmax,2,1000,3.837500116787851e-05,-99.78982121918433
task1_minmax,2,1000000,0.0031975829988368787,-99.99997800808704
task1_minmax,2,100000000,0.2844420830006129,-99.99999805603146
task1_minmax,4,1000,5.166699702385813e-05,-99.99031384571502
task1_minmax,4,1000000,0.0042810420018213335,-99.99972518353076
task1_minmax,4,100000000,0.3157382499994128,-99.9999992128122
task1_minmax,8,1000,0.00010791699969558977,-99.9271178361914
task1_minmax,8,1000000,0.00464891599767725,-99.99988836527017
task1_minmax,8,100000000,0.4729345000014291,-99.99999280303295
