task,threads,size,time,result
task1_minmax,1,1000,9e-06,-99.8959
task1_minmax,1,1000000,0.000843,-99.9995
task1_minmax,1,100000000,0.049178,-100
task1_minmax,2,1000,3.6e-05,-99.8959
task1_minmax,2,1000000,0.000261,-99.9995
task1_minmax,2,100000000,0.025184,-100
task1_minmax,4,1000,4.8e-05,-99.8959
task1_minmax,4,1000000,0.000165,-99.9995
task1_minmax,4,100000000,0.013305,-100
task1_minmax,8,1000,6.4e-05,-99.8959
task1_minmax,8,1000000,0.000159,-99.9995
task1_minmax,8,100000000,0.012795,-100
task1_minmax,10,1000,9.6e-05,-99.8959
task1_minmax,10,1000000,0.000183,-99.9995
task1_minmax,10,100000000,0.010901,-100
