task,threads,size,time,result
task2_dot,1,1000,8.99998e-06,-99.8959
task2_dot,1,1000000,0.001122,-99.9995
task2_dot,1,100000000,0.044988,-100
task2_dot,2,1000,4.1e-05,-99.8959
task2_dot,2,1000000,0.000275,-99.9995
task2_dot,2,100000000,0.024379,-100
task2_dot,4,1000,8.6e-05,-99.8959
task2_dot,4,1000000,0.000155,-99.9995
task2_dot,4,100000000,0.013093,-100
task2_dot,8,1000,6.1e-05,-99.8959
task2_dot,8,1000000,0.000175,-99.9995
task2_dot,8,100000000,0.011473,-100
task2_dot,10,1000,9.2e-05,-99.8959
task2_dot,10,1000000,0.000182,-99.9995
task2_dot,10,100000000,0.010754,-100
