task,threads,size,time,result
task3_integral,1,100000,5.1e-05,-99.9981
task3_integral,1,1000000,0.000712,-99.9995
task3_integral,1,10000000,0.005596,-100
task3_integral,2,100000,3.6e-05,-99.9981
task3_integral,2,1000000,0.000274,-99.9995
task3_integral,2,10000000,0.002526,-100
task3_integral,4,100000,3.4e-05,-99.9981
task3_integral,4,1000000,0.000138,-99.9995
task3_integral,4,10000000,0.001285,-100
task3_integral,8,100000,5.6e-05,-99.9981
task3_integral,8,1000000,0.000153,-99.9995
task3_integral,8,10000000,0.001425,-100
task3_integral,10,100000,7.20001e-05,-99.9981
task3_integral,10,1000000,0.000149,-99.9995
task3_integral,10,10000000,0.001135,-100
