task,threads,size,time,result
task5_special_matrices,1,500,0.000135,0
task5_special_matrices,1,1000,0.000953,0
task5_special_matrices,1,2000,0.002464,0
task5_special_matrices,2,500,0.000101,0
task5_special_matrices,2,1000,0.000381,0
task5_special_matrices,2,2000,0.001478,0
task5_special_matrices,4,500,7.4e-05,0
task5_special_matrices,4,1000,0.000335,0
task5_special_matrices,4,2000,0.000866,0
task5_special_matrices,8,500,8.8e-05,0
task5_special_matrices,8,1000,0.000229,0
task5_special_matrices,8,2000,0.000813,0
