task,threads,size,time,result
task6_schedule_static,1,1000,0.013567,0.013567
task6_schedule_dynamic,1,1000,0.011362,0.011362
task6_schedule_guided,1,1000,0.011452,0.011579
task6_schedule_static,1,2000,0.023196,0.023235
task6_schedule_dynamic,1,2000,0.023232,0.023325
task6_schedule_guided,1,2000,0.023275,0.023282
task6_schedule_static,1,3000,0.035162,0.036029
task6_schedule_dynamic,1,3000,0.035574,0.035574
task6_schedule_guided,1,3000,0.035067,0.035067
task6_schedule_static,1,4000,0.046767,0.046767
task6_schedule_dynamic,1,4000,0.046518,0.047475
task6_schedule_guided,1,4000,0.046577,0.04668
task6_schedule_static,1,5000,0.058753,0.058996
task6_schedule_dynamic,1,5000,0.057841,0.057841
task6_schedule_guided,1,5000,0.058496,0.058496
task6_schedule_static,1,6000,0.069708,0.070146
task6_schedule_dynamic,1,6000,0.070311,0.071139
task6_schedule_guided,1,6000,0.0721,0.0721
task6_schedule_static,1,7000,0.081874,0.081874
task6_schedule_dynamic,1,7000,0.081316,0.081316
task6_schedule_guided,1,7000,0.081962,0.081984
task6_schedule_static,1,8000,0.093539,0.093539
task6_schedule_dynamic,1,8000,0.093513,0.093513
task6_schedule_guided,1,8000,0.093179,0.093526
task6_schedule_static,1,9000,0.105391,0.105897
task6_schedule_dynamic,1,9000,0.10484,0.10484
task6_schedule_guided,1,9000,0.10505,0.10505
task6_schedule_static,1,10000,0.116669,0.116914
task6_schedule_dynamic,1,10000,0.117031,0.120045
task6_schedule_guided,1,10000,0.116292,0.116977
task6_schedule_static,2,1000,0.005936,0.005936
task6_schedule_dynamic,2,1000,0.005951,0.005995
task6_schedule_guided,2,1000,0.005942,0.005963
task6_schedule_static,2,2000,0.011869,0.011869
task6_schedule_dynamic,2,2000,0.011865,0.011899
task6_schedule_guided,2,2000,0.01187,0.011927
task6_schedule_static,2,3000,0.017805,0.018131
task6_schedule_dynamic,2,3000,0.017875,0.018009
task6_schedule_guided,2,3000,0.017814,0.017814
task6_schedule_static,2,4000,0.023752,0.023761
task6_schedule_dynamic,2,4000,0.02377,0.023787
task6_schedule_guided,2,4000,0.023766,0.023766
task6_schedule_static,2,5000,0.029687,0.029687
task6_schedule_dynamic,2,5000,0.02972,0.029833
task6_schedule_guided,2,5000,0.029685,0.029685
task6_schedule_static,2,6000,0.035623,0.035623
task6_schedule_dynamic,2,6000,0.035629,0.035629
task6_schedule_guided,2,6000,0.035629,0.035629
task6_schedule_static,2,7000,0.041551,0.041551
task6_schedule_dynamic,2,7000,0.041608,0.041841
task6_schedule_guided,2,7000,0.041565,0.041565
task6_schedule_static,2,8000,0.047523,0.047528
task6_schedule_dynamic,2,8000,0.047534,0.047543
task6_schedule_guided,2,8000,0.047516,0.047516
task6_schedule_static,2,9000,0.053426,0.053473
task6_schedule_dynamic,2,9000,0.053473,0.053558
task6_schedule_guided,2,9000,0.053394,0.05343
task6_schedule_static,2,10000,0.059371,0.059371
task6_schedule_dynamic,2,10000,0.059387,0.059407
task6_schedule_guided,2,10000,0.059377,0.06015
task6_schedule_static,4,1000,0.00374,0.00375
task6_schedule_dynamic,4,1000,0.003602,0.003601
task6_schedule_guided,4,1000,0.003188,0.003187
task6_schedule_static,4,2000,0.006559,0.006559
task6_schedule_dynamic,4,2000,0.006533,0.008714
task6_schedule_guided,4,2000,0.006407,0.006407
task6_schedule_static,4,3000,0.009776,0.009941
task6_schedule_dynamic,4,3000,0.009805,0.009834
task6_schedule_guided,4,3000,0.009865,0.009865
task6_schedule_static,4,4000,0.013056,0.013056
task6_schedule_dynamic,4,4000,0.013067,0.013229
task6_schedule_guided,4,4000,0.012843,0.01336
task6_schedule_static,4,5000,0.016485,0.016802
task6_schedule_dynamic,4,5000,0.016351,0.016503
task6_schedule_guided,4,5000,0.016427,0.016701
task6_schedule_static,4,6000,0.020033,0.020088
task6_schedule_dynamic,4,6000,0.019603,0.019603
task6_schedule_guided,4,6000,0.019721,0.019721
task6_schedule_static,4,7000,0.022869,0.022869
task6_schedule_dynamic,4,7000,0.022845,0.022864
task6_schedule_guided,4,7000,0.023026,0.023051
task6_schedule_static,4,8000,0.026115,0.026115
task6_schedule_dynamic,4,8000,0.026144,0.026263
task6_schedule_guided,4,8000,0.026307,0.026775
task6_schedule_static,4,9000,0.029386,0.029386
task6_schedule_dynamic,4,9000,0.029376,0.029376
task6_schedule_guided,4,9000,0.029699,0.030122
task6_schedule_static,4,10000,0.032614,0.032614
task6_schedule_dynamic,4,10000,0.03265,0.03265
task6_schedule_guided,4,10000,0.033378,0.033389
task6_schedule_static,8,1000,0.002739,0.002739
task6_schedule_dynamic,8,1000,0.002447,0.00247
task6_schedule_guided,8,1000,0.002597,0.002597
task6_schedule_static,8,2000,0.005523,0.005861
task6_schedule_dynamic,8,2000,0.004866,0.004877
task6_schedule_guided,8,2000,0.005182,0.005243
task6_schedule_static,8,3000,0.008081,0.008081
task6_schedule_dynamic,8,3000,0.007281,0.007281
task6_schedule_guided,8,3000,0.007458,0.007458
task6_schedule_static,8,4000,0.010769,0.010783
task6_schedule_dynamic,8,4000,0.009651,0.009651
task6_schedule_guided,8,4000,0.009904,0.009909
task6_schedule_static,8,5000,0.013429,0.013429
task6_schedule_dynamic,8,5000,0.01212,0.012204
task6_schedule_guided,8,5000,0.012166,0.013066
task6_schedule_static,8,6000,0.01606,0.016322
task6_schedule_dynamic,8,6000,0.014462,0.014591
task6_schedule_guided,8,6000,0.014673,0.014696
task6_schedule_static,8,7000,0.0183,0.019257
task6_schedule_dynamic,8,7000,0.016889,0.017041
task6_schedule_guided,8,7000,0.017253,0.017253
task6_schedule_static,8,8000,0.019638,0.023541
task6_schedule_dynamic,8,8000,0.019291,0.019322
task6_schedule_guided,8,8000,0.019795,0.019795
task6_schedule_static,8,9000,0.021782,0.024263
task6_schedule_dynamic,8,9000,0.02173,0.02173
task6_schedule_guided,8,9000,0.021723,0.021711
task6_schedule_static,8,10000,0.028026,0.029212
task6_schedule_dynamic,8,10000,0.024181,0.024225
task6_schedule_guided,8,10000,0.024264,0.02434
task6_schedule_static,10,1000,0.00274,0.002816
task6_schedule_dynamic,10,1000,0.002191,0.002191
task6_schedule_guided,10,1000,0.00232,0.00234
task6_schedule_static,10,2000,0.005373,0.005449
task6_schedule_dynamic,10,2000,0.004333,0.004442
task6_schedule_guided,10,2000,0.004641,0.004641
task6_schedule_static,10,3000,0.008052,0.008409
task6_schedule_dynamic,10,3000,0.006465,0.006496
task6_schedule_guided,10,3000,0.006719,0.007226
task6_schedule_static,10,4000,0.010905,0.011184
task6_schedule_dynamic,10,4000,0.008558,0.008558
task6_schedule_guided,10,4000,0.00883,0.00883
task6_schedule_static,10,5000,0.013016,0.014193
task6_schedule_dynamic,10,5000,0.010743,0.010754
task6_schedule_guided,10,5000,0.011504,0.011558
task6_schedule_static,10,6000,0.014657,0.015133
task6_schedule_dynamic,10,6000,0.012915,0.013259
task6_schedule_guided,10,6000,0.013079,0.013078
task6_schedule_static,10,7000,0.017875,0.017875
task6_schedule_dynamic,10,7000,0.015115,0.015129
task6_schedule_guided,10,7000,0.015276,0.017
task6_schedule_static,10,8000,0.021449,0.021491
task6_schedule_dynamic,10,8000,0.01714,0.017503
task6_schedule_guided,10,8000,0.017969,0.019489
task6_schedule_static,10,9000,0.023425,0.024328
task6_schedule_dynamic,10,9000,0.019388,0.019591
task6_schedule_guided,10,9000,0.019933,0.020066
task6_schedule_static,10,10000,0.026006,0.026048
task6_schedule_dynamic,10,10000,0.021804,0.021949
task6_schedule_guided,10,10000,0.021702,0.021961
